id,last_scraped,host_id,host_listings_count,host_total_listings_count,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,neighbourhood_cleansed,host_is_superhost,host_since,host_response_time,host_response_rate,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,availability_30,availability_60,availability_90,Wifi,Smoke alarm,Carbon monoxide alarm,Kitchen,Essentials,Hangers,Iron,Hair dryer,Heating,Hot water,Refrigerator,Microwave,Shampoo,Dishes and silverware,Cooking basics,Bed linens,Air conditioning,Long term stays allowed,Self check-in,Fire extinguisher,previous_scraped_date,entrant_host,book_365,new_review,new_book
803385779755101640,2023-06-22,297860058,299,1491,362,0,0,0.0,0.0,Brighton,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,1,0.0,0.0,1.0,74,28,58,88,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2022-12-21,0,3,0.0,0.0
51760247,2023-06-22,297860058,299,1491,355,0,0,0.0,0.0,North End,0,2019-09-25,within a few hours,94%,Entire rental unit,Entire home/apt,1,0.0,1.0,1.0,213,21,51,81,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,2022-12-21,0,10,0.0,0.0
38901342,2023-06-22,297860058,299,1491,228,0,0,0.0,0.0,Fenway,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,1,0.0,0.0,1.0,70,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2022-12-21,0,137,0.0,0.0
53237415,2023-06-22,244600805,18,38,181,34,22,3.82,1.76,Bay Village,f,2019-02-21,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,144,25,48,78,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2022-12-21,0,184,0.0,0.0
896426215566639130,2023-06-22,28929296,4,9,313,2,2,5.0,2.0,South End,f,2015-03-07,within an hour,94%,Entire rental unit,Entire home/apt,5,0.0,2.0,2.0,366,12,32,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2022-12-21,0,52,0.0,0.0
51300156,2023-06-22,107434423,4730,5621,320,1,1,3.0,0.17,Back Bay,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,182,0,15,45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,45,0.0,0.0
47576607,2023-06-22,107434423,4730,5621,303,1,0,4.0,0.06,Back Bay,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,0.0,1.0,176,0,0,28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,62,0.0,0.0
51320970,2023-06-22,285344759,31,57,107,51,22,4.31,2.3,South End,f,2019-08-13,within an hour,100%,Entire rental unit,Entire home/apt,3,0.0,1.0,2.0,173,15,39,69,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2022-12-21,0,258,0.0,0.0
51846253,2023-06-22,244600805,18,38,131,37,22,4.38,1.68,South End,f,2019-02-21,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,149,29,59,89,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2022-12-21,0,234,0.0,0.0
51143720,2023-06-22,331225367,84,101,278,13,10,4.92,0.62,Beacon Hill,t,2020-01-27,within an hour,100%,Entire condo,Entire home/apt,2,0.0,2.0,2.0,300,3,24,54,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2022-12-21,0,87,0.0,0.0
40919597,2023-06-22,272082418,7,7,356,3,0,4.33,0.13,Downtown,t,2019-06-28,within an hour,100%,Room in hotel,Private room,4,0.0,1.0,1.0,460,26,52,82,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,2022-12-21,0,9,0.0,0.0
41953381,2023-06-22,107434423,4730,5621,0,1,1,5.0,0.11,Back Bay,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,258,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,365,0.0,0.0
1819994,2023-06-22,9529655,7,8,363,2,0,4.0,0.02,Fenway,f,2013-10-20,within an hour,100%,Entire condo,Entire home/apt,1,0.0,2.0,1.0,265,28,58,88,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,2022-12-21,0,2,0.0,0.0
831012935165221418,2023-06-22,3634393,3,4,292,1,1,4.0,1.0,Beacon Hill,f,2012-09-21,within a day,90%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,155,0,0,19,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-12-21,0,73,0.0,0.0
674589935445605774,2023-06-22,171152296,1,2,256,1,1,5.0,0.16,South End,f,2018-02-01,within a day,100%,Entire condo,Entire home/apt,2,0.0,1.0,1.0,133,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-12-21,0,109,0.0,0.0
4364989,2023-06-22,9653086,11,11,263,81,0,4.83,0.82,South End,t,2013-10-27,within a few hours,100%,Entire rental unit,Entire home/apt,4,0.0,1.0,2.0,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2022-12-21,0,102,0.0,0.0
40919826,2023-06-22,272082418,7,7,361,16,8,4.94,0.73,Downtown,t,2019-06-28,within an hour,100%,Room in hotel,Private room,3,0.0,1.0,1.0,386,28,56,86,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,2022-12-21,0,4,0.0,0.0
616886094726263774,2023-06-22,205269848,18,54,0,19,19,3.58,1.65,Bay Village,f,2018-07-26,within an hour,100%,Entire rental unit,Entire home/apt,3,0.0,1.0,1.0,824,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,2022-12-21,0,365,0.0,0.0
660804988514976374,2023-06-22,158837906,17,18,357,5,5,4.6,0.48,South End,f,2017-11-15,within an hour,89%,Entire rental unit,Entire home/apt,4,0.0,2.0,3.0,699,30,60,90,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2022-12-21,0,8,0.0,0.0
634844247572435230,2023-06-22,2356643,84,327,1,7,7,4.0,0.67,Brighton,f,2012-05-12,within an hour,100%,Private room in rental unit,Private room,2,0.0,1.0,1.0,75,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,2022-12-21,0,364,0.0,0.0
624541300397031900,2023-06-22,409684302,35,118,353,55,53,4.73,4.14,South End,f,2021-06-28,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,212,26,56,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2022-12-21,0,12,0.0,0.0
841306752947174130,2023-06-22,11363632,1,4,98,0,0,0.0,0.0,Back Bay,f,2014-01-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,2.0,168,3,3,3,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2022-12-21,0,267,0.0,0.0
612970044547812293,2023-06-22,423270067,32,132,357,0,0,0.0,0.0,Back Bay,f,2021-09-16,within an hour,100%,Entire rental unit,Entire home/apt,5,0.0,2.0,2.0,662,28,55,85,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,2022-12-21,0,8,0.0,0.0
51284572,2023-06-22,382451810,46,49,307,121,50,4.69,5.28,Downtown,f,2020-12-31,within an hour,100%,Entire serviced apartment,Entire home/apt,2,0.0,0.0,1.0,231,4,13,32,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,2022-12-21,0,58,0.0,0.0
687078043562545838,2023-06-22,373675137,93,215,105,2,2,5.0,0.43,Beacon Hill,0,2020-10-28,within an hour,100%,Entire rental unit,Entire home/apt,5,0.0,3.0,3.0,205,0,9,19,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,2022-12-21,0,260,0.0,0.0
45928000,2023-06-22,274552333,125,149,365,3,0,3.0,0.1,Downtown,f,2019-07-08,within an hour,100%,Entire rental unit,Entire home/apt,6,0.0,2.0,2.0,301,30,60,90,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,2022-12-21,0,0,0.0,0.0
707933595549972307,2023-06-22,450042941,33,53,293,6,6,4.67,0.65,Downtown,f,2022-03-17,within an hour,100%,Entire rental unit,Entire home/apt,8,0.0,2.0,3.0,303,0,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2022-12-21,0,72,0.0,0.0
3544343,2023-06-22,17843002,1,1,0,0,0,0.0,0.0,Downtown,f,2014-07-08,0,0,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,100,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2022-12-21,0,365,0.0,0.0
496022,2023-06-22,1956464,1,4,0,16,0,4.93,0.13,Jamaica Plain,0,2012-03-18,0,0,Private room in home,Private room,2,0.0,0.0,1.0,173,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2022-12-21,0,365,0.0,0.0
37749165,2023-06-22,275833371,3,7,358,0,0,0.0,0.0,Downtown,f,2019-07-13,0,0,Entire condo,Entire home/apt,6,0.0,2.0,3.0,300,23,53,83,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,7,0.0,0.0
787547697386254974,2023-06-22,107434423,4730,5621,0,0,0,0.0,0.0,Chinatown,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,371,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,365,0.0,0.0
5919529,2023-06-22,24196977,3,5,177,15,0,5.0,0.15,Back Bay,f,2014-11-26,within an hour,100%,Entire townhouse,Entire home/apt,6,0.0,3.0,2.0,568,27,57,87,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,2022-12-21,0,188,0.0,0.0
42080205,2023-06-22,107434423,4730,5621,274,0,0,0.0,0.0,Downtown,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,4,0.0,2.0,2.0,238,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,91,0.0,0.0
580339876979371264,2023-06-22,107434423,4730,5621,318,0,0,0.0,0.0,Chinatown,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,225,0,13,43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,47,0.0,0.0
3457722,2023-06-22,6209951,1,1,4,53,2,4.96,0.49,Brighton,f,2013-05-03,within an hour,100%,Entire home,Entire home/apt,8,0.0,3.0,3.0,248,4,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2022-12-21,0,361,0.0,0.0
1077105,2023-06-22,5927277,1,1,0,0,0,0.0,0.0,South End,f,2013-04-14,0,0,Entire rental unit,Entire home/apt,2,0.0,0.0,1.0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,0,365,0.0,0.0
1055627,2023-06-22,4299002,2,3,0,8,0,4.25,0.06,Downtown,f,2012-12-01,0,0,Entire rental unit,Entire home/apt,3,0.0,1.0,1.0,160,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
50042062,2023-06-22,107434423,4730,5621,318,1,1,5.0,0.12,Back Bay,f,2016-12-16,within an hour,100%,Entire rental unit,Entire home/apt,4,0.0,2.0,2.0,298,0,13,43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2022-12-21,0,47,0.0,0.0
2108738,2023-06-22,10750832,1,1,0,34,0,4.31,0.29,Back Bay,f,2013-12-21,0,0,Entire rental unit,Entire home/apt,2,0.0,0.0,1.0,70,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,0,365,0.0,0.0
24265005,2023-06-22,145681148,2,2,0,40,3,4.85,0.67,Jamaica Plain,f,2017-08-12,within an hour,100%,Entire rental unit,Entire home/apt,4,0.0,4.0,2.0,204,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2022-12-21,0,365,0.0,0.0
6862594,2023-06-22,10608570,1,1,0,0,0,0.0,0.0,Jamaica Plain,f,2013-12-13,0,0,Private room in home,Private room,2,0.0,1.0,1.0,60,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-21,0,365,0.0,0.0
38285740,2023-06-22,291036089,1,1,0,0,0,0.0,0.0,South End,f,2019-09-02,0,0,Entire rental unit,Entire home/apt,4,0.0,2.0,2.0,699,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
7279874,2023-06-22,2800145,1,2,0,15,0,5.0,0.16,Fenway,f,2012-07-01,0,0,Entire rental unit,Entire home/apt,3,0.0,1.0,1.0,135,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2022-12-21,0,365,0.0,0.0
539376906593556470,2023-06-22,382740300,1,1,365,0,0,0.0,0.0,Roxbury,f,2021-01-02,within a few hours,100%,Private room in loft,Private room,2,0.0,1.0,1.0,150,30,60,90,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,0,0,0.0,0.0
7333304,2023-06-22,38420785,1,1,0,0,0,0.0,0.0,Charlestown,0,2015-07-14,0,0,Private room in rental unit,Private room,2,0.0,0.0,1.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,0,365,0.0,0.0
7054912,2023-06-22,6223931,1,1,0,2,0,5.0,0.02,Downtown,f,2013-05-04,0,0,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,225,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
554984815423757176,2023-06-22,297860058,299,1491,123,0,0,0.0,0.0,Dorchester,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,2,0.0,0.0,1.0,87,30,60,90,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2022-12-21,0,242,0.0,0.0
26108847,2023-06-22,18202088,30,103,0,4,0,4.5,0.08,East Boston,f,2014-07-16,0,0,Entire rental unit,Entire home/apt,2,0.0,0.0,1.0,99,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
7856208,2023-06-22,41439483,1,1,0,0,0,0.0,0.0,South End,f,2015-08-14,0,0,Private room in rental unit,Private room,2,0.0,1.0,1.0,180,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022-12-21,0,365,0.0,0.0
7984226,2023-06-22,36050005,1,1,0,0,0,0.0,0.0,North End,f,2015-06-17,0,0,Entire rental unit,Entire home/apt,2,0.0,0.0,1.0,250,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
26109200,2023-06-22,18202088,30,103,0,4,0,4.5,0.08,East Boston,f,2014-07-16,0,0,Entire rental unit,Entire home/apt,4,0.0,0.0,1.0,167,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
26109264,2023-06-22,18202088,30,103,0,0,0,0.0,0.0,East Boston,f,2014-07-16,0,0,Entire rental unit,Entire home/apt,4,0.0,0.0,1.0,110,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
40991111,2023-06-22,7427795,11,11,0,36,0,4.61,0.9,East Boston,f,2013-07-11,within an hour,100%,Entire rental unit,Entire home/apt,5,0.0,1.0,3.0,90,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2022-12-21,0,365,0.0,0.0
41076686,2023-06-22,48005494,751,1987,10,3,2,4.0,0.17,Back Bay,f,2015-11-02,within an hour,99%,Entire serviced apartment,Entire home/apt,2,0.0,1.0,1.0,228,5,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2022-12-21,0,355,0.0,0.0
649160832948433890,2023-06-22,297860058,299,1491,125,0,0,0.0,0.0,Allston,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,1,0.0,0.0,1.0,79,23,53,83,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,2022-12-21,0,240,0.0,0.0
26132566,2023-06-22,18202088,30,103,0,1,0,5.0,0.02,East Boston,f,2014-07-16,0,0,Entire rental unit,Entire home/apt,4,0.0,0.0,1.0,167,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
676189572505514047,2023-06-22,22240400,2,3,0,6,6,5.0,0.66,East Boston,t,2014-10-07,within a day,100%,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,109,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,2022-12-21,0,365,0.0,0.0
8381472,2023-06-22,44169062,1,1,0,0,0,0.0,0.0,South End,f,2015-09-14,0,0,Entire rental unit,Entire home/apt,4,0.0,2.0,2.0,400,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
681783562025076195,2023-06-22,37035419,8,8,89,2,2,4.5,0.32,Allston,0,2015-06-29,within a few hours,100%,Private room in home,Private room,1,0.0,0.0,1.0,75,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,276,0.0,0.0
42328735,2023-06-22,336557315,1,1,0,0,0,0.0,0.0,Jamaica Plain,f,2020-02-16,0,0,Shared room in home,Shared room,2,0.0,0.0,1.0,80,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
9078998,2023-06-22,9240628,1,1,0,12,0,4.67,0.13,Beacon Hill,f,2013-10-05,0,0,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,150,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2022-12-21,0,365,0.0,0.0
722338399570459942,2023-06-22,297860058,299,1491,135,0,0,0.0,0.0,East Boston,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,1,0.0,0.0,1.0,96,27,57,87,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,2022-12-21,0,230,0.0,0.0
9110708,2023-06-22,32018716,1,1,0,0,0,0.0,0.0,Allston,f,2015-04-26,0,0,Entire rental unit,Entire home/apt,3,0.0,1.0,2.0,109,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2022-12-21,0,365,0.0,0.0
771554926520201061,2023-06-22,297860058,299,1491,123,0,0,0.0,0.0,Dorchester,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,2,0.0,0.0,1.0,90,30,60,90,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2022-12-21,0,242,0.0,0.0
10249798,2023-06-22,26062958,2,4,0,46,0,4.85,0.55,Roxbury,0,2015-01-13,within a day,63%,Private room in home,Private room,1,0.0,0.0,1.0,150,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2022-12-21,0,365,0.0,0.0
11006149,2023-06-22,57112558,1,1,0,0,0,0.0,0.0,Mission Hill,f,2016-02-02,0,0,Entire rental unit,Entire home/apt,1,0.0,1.0,1.0,59,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2022-12-21,0,365,0.0,0.0
802170266584394811,2023-06-22,297860058,299,1491,365,0,0,0.0,0.0,Brighton,0,2019-09-25,within a few hours,94%,Private room in rental unit,Private room,2,0.0,0.0,1.0,53,30,60,90,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2022-12-21,0,0,0.0,0.0
